,course_name,instructor,course description,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,course_flag,students_count,len descreption,amount of discount
4057,Comprehensive Introduction to Programming with C#,"Svetlin Nakov, Preslav Mihaylov",Practical Problem Solving Approach. Learn Programming by Examples and Practical Assignments with C# and Visual Studio,4.6,181,22.5,116,Beginner,199.99,229.99,Normal,16097.0,117,30.0
4058,"CSS, Bootstrap, JavaScript And PHP Stack Complete Course",PROPER DOT INSTITUTE,"CSS, Bootstrap And JavaScript And PHP Complete Frontend and Backend Course",4.4,181,8.0,85,Beginner,229.99,1199.99,Normal,33029.0,74,970.0
4059,System Design Bootcamp : Crack Interviews and Build Systems,Diwakar Singh,Crack System Design Interview and Build Systems that Scales with Ease using the Best System Design Patterns.,4.0,181,4.5,28,All Levels,199.99,229.99,Normal,1702.0,108,30.0
4060,Build Neural Networks In Seconds Using Deep Learning Studio,Michael Kroeker,Develop Keras / TensorFlow Deep Learning Models Using A GUI And Without Knowing Python Or Machine Learning,3.1,181,3.0,43,All Levels,269.99,649.99,Normal,565.0,106,380.0
4061,Python 3 Masterclass step by step with coding exercises.,Shibaji Paul,Learn Python 3 from basics to advance level-hands on with Coding Exercises-become a Python pro in a week.,4.5,181,17.0,122,All Levels,229.99,1199.99,Normal,970.0,105,970.0
4062,Learn Python Requests,Anthony Herbert,Learn to interact with third-party APIs to make your Python apps even more powerful,4.5,181,2.5,27,Beginner,199.99,229.99,Normal,2860.0,83,30.0
4063,Creating Gameplay Mechanics With Blueprints in Unreal Engine,Animation Hacks,Learn Unreal blueprints by developing 2D & 3D games with this comprehensive guide from begin to finish,3.7,181,9.5,60,All Levels,269.99,1299.99,Normal,1502.0,102,1030.0
4064,Vue JS + Google Maps API: Ultimate Beginner's Friendly Guide,Raja Tamil,Build 3 Professional Real World Location Based Web Apps Using Vue JS & Google Maps API Like A Pro,4.8,181,5.0,49,All Levels,269.99,1399.99,Normal,17281.0,97,1130.0
4065,Node.Js: REST APIs Development with Loopback,Haider Malik,"Step By Step Guide To Building Rest APIs With Loopback, Node.Js, MongoDb, Mysql, And PostgresQL",4.4,180,2.5,43,Intermediate,269.99,1399.99,Normal,1357.0,95,1130.0
4066,PHP Crash Course — Learn PHP in 90 minutes.,Kalob Taulien,Learn PHP in less than 90 minutes with this fast-paced PHP crash course.,4.5,180,1.5,27,Beginner,269.99,719.99,Normal,3602.0,72,450.0
4067,Learn Bootstrap - Make Real Projects & Templates,Hira Mariam,"Learn HTML, CSS, Javascript and Bootstrap 4 and Sell Premium Templates Online - Build Premium Themes and Make Money!",3.4,180,13.5,85,All Levels,229.99,419.99,Normal,10661.0,116,190.0
4068,Gulp 4: Automate your development workflow,Sergey Shtyrlov,Automate your development processes with Gulp 4 toolkit,4.8,180,5.5,44,Beginner,269.99,319.99,Normal,893.0,55,50.0
4069,Build Restful Api's with Asp.Net Core,Asfend Yar Hamid,"Learn to build Secure Real World Vehicle Selling RESTful Api's with Asp.Net Core , Entity Framework Core and C#",4.5,180,3.5,68,All Levels,269.99,1299.99,Normal,624.0,111,1030.0
4070,Salesforce Lightning Flow Builder with real time scenario,Debasis Jena,Learn Complete salesforce lightning flow with real time implementation,4.3,180,8.5,42,All Levels,269.99,529.99,Normal,1704.0,70,260.0
4071,RabbitMQ: Learn all MessageQueue concepts and administration,Timo | C# Development | .NET  | DevOps,Use RabbitMQ for asynchronous Messaging to decouple your systems for easy scalable systems with examples in Python & C#,4.1,180,4.5,69,All Levels,199.99,229.99,Normal,1355.0,119,30.0
4072,SelectorsHub Tutorial- A Free Next Gen XPath & Locators tool,Sanjay Kumar,SelectorsHub Tutorial,3.9,180,3.5,32,All Levels,199.99,229.99,Normal,11816.0,21,30.0
4073,Shopping Cart Website from Scratch Ecommerce,Laurence Svekis,How to build a fully functional web storage shopping cart that integrates with Paypal.  Step by step instruction webdev,4.4,180,4.5,56,Beginner,269.99,1299.99,Normal,1640.0,119,1030.0
4074,Game Character Sculpting For Beginners with Zbrush & Maya,Nalini Kanta Jena,"Step By Step Guide From Besh Mesh Creation to High Poly Sculpting Using Zbrush, Maya and Marvelous Designer",4.4,180,12.5,117,Beginner,229.99,479.99,Normal,1373.0,107,250.0
4075,Creating Custom Web Maps,Infinite Skills,"Enhance your Web Application Using Leaflet, Mapbox, or OpenStreetMap",4.6,180,2.0,29,Intermediate,229.99,479.99,Normal,783.0,68,250.0
4076,Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,"Learn Data Preprocessing, Data Wrangling and Data Visualisation With the Two Most Happening R Data Science Packages",4.4,180,4.5,42,All Levels,269.99,1299.99,Normal,1276.0,115,1030.0
4077,Microsoft Azure Cognitive Services Crash Course,Reza Salehi,"Build Smart Applications in Minutes with Azure Cognitive Vision, Language, Speech, Decision and Search services",4.5,179,5.0,56,All Levels,229.99,579.99,Normal,7649.0,111,350.0
4078,Start and Develop a Successful Career in Software Testing,"Magdy Hanna, Ph.D.","Learn about Software Testing Certifications, Quality Assurance, Test Design, Agile Testing, requirements, and Test Cases",4.3,179,10.0,24,Beginner,1699.99,1699.99,Normal,654.0,120,0.0
